date,time,total_games,wins,draws,avg_time
07/04/2023,20:20,14500,8,0,3.7
07/04/2023,20:26,14600,9,0,3.3
07/04/2023,20:31,14700,3,0,3.3
07/04/2023,20:37,14800,5,0,3.4
07/04/2023,20:43,14900,4,0,3.5
07/04/2023,20:48,15000,6,0,3.3
07/04/2023,20:54,15100,6,0,3.5
07/04/2023,21:00,15200,8,0,3.6
07/04/2023,21:06,15300,11,0,3.5
07/04/2023,21:12,15400,9,0,3.6
07/04/2023,21:18,15500,10,0,3.5
07/04/2023,21:23,15600,14,0,3.5
07/04/2023,21:29,15700,9,0,3.4
07/04/2023,21:35,15800,13,0,3.4
07/04/2023,21:41,15900,11,0,3.5
07/04/2023,21:46,16000,12,0,3.5
07/04/2023,21:52,16100,11,0,3.5
07/04/2023,21:58,16200,14,0,3.5
07/04/2023,22:04,16300,11,0,3.4
07/04/2023,22:10,16400,14,0,3.4
07/04/2023,22:15,16500,7,0,3.4
07/04/2023,22:21,16600,8,0,3.6
07/04/2023,22:27,16700,17,0,3.4
07/04/2023,22:33,16800,12,0,3.7
07/04/2023,22:39,16900,11,0,3.6
07/04/2023,22:45,17000,9,0,3.6
07/04/2023,22:51,17100,8,0,3.6
07/04/2023,22:57,17200,13,0,3.4
07/04/2023,23:03,17300,10,0,3.6
07/04/2023,23:09,17400,10,0,3.7
07/04/2023,23:15,17500,14,0,3.5
07/04/2023,23:21,17600,6,0,3.7
07/04/2023,23:27,17700,7,0,3.6
07/04/2023,23:33,17800,15,0,3.6
07/04/2023,23:39,17900,8,0,3.6
07/04/2023,23:45,18000,12,0,3.6
07/04/2023,23:51,18100,15,0,3.5
07/04/2023,23:57,18200,9,0,3.5
08/04/2023,00:03,18300,12,0,3.6
08/04/2023,00:09,18400,20,0,3.6
08/04/2023,00:15,18500,24,0,3.6
08/04/2023,00:21,18600,17,0,3.7
08/04/2023,00:27,18700,19,0,3.6
08/04/2023,00:33,18800,16,0,3.8
08/04/2023,00:39,18900,12,0,3.5
08/04/2023,00:45,19000,21,0,3.6
08/04/2023,00:51,19100,14,0,3.6
08/04/2023,00:57,19200,20,0,3.5
08/04/2023,01:03,19300,18,0,3.6
08/04/2023,01:09,19400,20,0,3.6
08/04/2023,01:15,19500,15,0,3.8
08/04/2023,01:21,19600,24,0,3.8
08/04/2023,01:27,19700,17,0,3.6
08/04/2023,01:34,19800,24,0,3.7
08/04/2023,01:40,19900,16,0,3.6
08/04/2023,01:46,20000,18,0,3.7
08/04/2023,01:52,20100,19,0,3.5
08/04/2023,01:58,20200,20,0,3.7
08/04/2023,02:04,20300,25,0,3.8
08/04/2023,02:10,20400,18,0,3.6
08/04/2023,02:16,20500,21,0,3.5
08/04/2023,02:22,20600,15,0,3.8
08/04/2023,02:28,20700,22,0,3.7
08/04/2023,02:34,20800,21,0,3.6
08/04/2023,02:40,20900,22,0,3.7
08/04/2023,02:47,21000,22,0,3.7
08/04/2023,02:53,21100,18,0,3.7
08/04/2023,02:59,21200,20,0,3.6
08/04/2023,03:05,21300,17,1,3.6
08/04/2023,03:11,21400,18,4,3.7
08/04/2023,03:17,21500,16,8,3.7
08/04/2023,03:23,21600,15,9,3.7
08/04/2023,03:29,21700,15,3,3.6
08/04/2023,03:35,21800,15,6,3.7
08/04/2023,03:42,21900,24,10,3.8
08/04/2023,03:48,22000,17,6,3.7
08/04/2023,03:54,22100,21,6,3.6
08/04/2023,04:00,22200,12,8,3.7
08/04/2023,04:06,22300,21,3,3.7
08/04/2023,04:12,22400,23,4,3.6
08/04/2023,04:19,22500,10,5,3.9
08/04/2023,04:25,22600,15,6,3.7
08/04/2023,04:31,22700,10,9,3.8
