states,scores
200100220020011001000000100000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
200110220020011001000200100000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201110220020011001000200100020000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
202100000010000001000000000000000000000000,"[-1, -1, -1, 0.1555, -1, 0, -1]"
200100020010001001000000200000000000000000,"[0.1435, 0, 0, 0, 0, 0, 0]"
200100020010001001000200200010000000000000,"[0.15274, 0, 0, 0, 0, 0, 0]"
201100020010001001000200200010000002000000,"[0, 0.13036, 0, 0, 0, 0, 0]"
221100021010001001000200200010000002000000,"[0, 0.14032, 0, 0, 0, 0, 0]"
221100021010001201000210200010000002000000,"[0, -0.3041, -1, -0.04217, -0.43215, 0.15492, 0]"
221100021010001201000210200012010002000000,"[0, 0, 0, 0.04868, 0, 0, 0]"
221100221110001201000210200012010002000000,"[0, -1, 0.03179, 0, 0, 0, -1]"
210100120010002000000100000020000000000000,"[0.02985, 0, 0, 0, 0, 0, 0]"
210110120010002000000100000020000002000000,"[0, -1, -0.42576, -1, -1, -1, 0]"
200100010000000000000000000000000000000000,"[0.11944, 0, 0, 0, 0, 0, 0]"
200100010010002000000000000000000000000000,"[0.18407, 0, 0, 0, 0, 0, 0]"
200100010010002001000200000000000000000000,"[0, 0, 0, 0.08806, 0, 0, 0]"
200101020010001001000200200010000002000000,"[0, 0, 0.08069, 0, 0, 0, 0]"
220101120010001001000200200010000002000000,"[0, -1, -1, -1, 0.01967, 0, 0]"
000100200010000000000000000000000000000000,"[0.11817, 0, 0, 0, 0, 0, 0]"
200100200010000001000000000000000000000000,"[-1, -1, -1, 0.06175, -1, -1, -1]"
000120000010000000000000000000000000000000,"[0.07624, 0, 0, 0, 0, 0, 0]"
200120000010000001000000000000000000000000,"[-1, -1, -1, 0.04835, -1, -1, -1]"
202110000010000000000000000000000000000000,"[0.10031, 0, 0, 0, 0, 0, 0]"
202110020010000001000000000000000000000000,"[-1, -1, -1, 0.08438, 0, -1, -1]"
202110020010001001000000200000000000000000,"[0.07891, 0, 0, 0, 0, 0, 0]"
202110020011001001000000200000020000000000,"[0.02351, 0, 0, 0, 0, 0, 0]"
202110020111001001000200200000020000000000,"[0.02562, 0, 0, 0, 0, 0, 0]"
202111020111001001000200200020020000000000,"[0.01726, 0, 0, 0, -1, 0, 0]"
202111020111001001100200200020020002000000,"[0, -0.42768, -1, -0.65157, -1, -0.4381, -0.42694]"
202111020111001011100200200020020002002000,"[0, -1, -1, 0, -1, -1, -1]"
202100010010000000000000000000000000000000,"[0.0466, 0, 0, 0, 0, 0, 0]"
202100010110002000000000000000000000000000,"[0.04192, 0, 0, 0, 0, 0, 0]"
212100010110002000000200000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
212101010110002000000200000020000000000000,"[1, 0, 0, 0, 0, 0, 0]"
000000100000000000000000000000000000000000,"[0.28475, 0, 0, 0, 0, 0, 0]"
200100120010000000000000000000000000000000,"[0.11718, 0, 0, 0, 0, 0, 0]"
200100120010002000000100000000000000000000,"[0.102, 0, 0, 0, 0, 0, 0]"
220100120010002001000100000000000000000000,"[0, 0, -1, 0, 0, -1, 0]"
210100020010000000000000000000000000000000,"[0.09511, 0, 0, 0, 0, 0, 0]"
210100020010002000000100000000000000000000,"[0.07845, 0, 0, 0, 0, 0, 0]"
211100020010002000000100000020000000000000,"[0, 0, 0, 0, 0.06377, 0, 0]"
211100020010002001000100000020000002000000,"[0, -1, -1, -1, -1, -1, -1]"
211100022110002001000100000020000002000000,"[0, -0.42479, -1, 0.02083, 0, 0, 0]"
211102022110002011000100000020000002000000,"[0, 0.02376, 0, 0, -1, -1, -1]"
200100020010001000000000000000000000000000,"[0.16374, 0, 0, 0, 0, 0, 0]"
200100020010001001000200000000000000000000,"[-1, -1, -1, 0.19142, -1, -1, -1]"
001120000000000000000000000000000000000000,"[0.08951, 0, 0, 0, 0, 0, 0]"
201120000010000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201120020010000001000000000000000000000000,"[-1, -1, -1, 0.05384, -1, -1, -1]"
200101020010001001000200200000000000000000,"[-0.4381, -0.4241, 0.11368, 0, 0, 0, 0]"
200111020010001001000200200020000000000000,"[-1, -1, -1, -1, -1, -1, -1]"
110100122010002000000200000010000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
110100122010002201000200000010000002000000,"[0, -1, 0, 0, 0, 0, 0]"
200110020010001001000200200000000000000000,"[-0.4261, -0.41518, 0.07037, 0, 0, 0, 0]"
201110020010001001000200200020000000000000,"[-1, -1, -1, -1, -1, -1, -1]"
200100020010001001000200200010010002000000,"[0, 0.11531, 0, 0, 0, 0, 0]"
220100021010001001000200200010010002000000,"[0, 0.10467, 0, 0, 0, 0, 0]"
220100021010001201000210200010010002000000,"[0, 0.08612, 0, 0, 0, 0, 0]"
222100021010001201000210200010010002001000,"[0, 0.03588, -1, 0, 0, 0, 0]"
222110021010001201000210200012010002001000,"[0, 0, 0.0119, 0, 0, 0, 0]"
222110021011001201000210200012010002201000,"[0, 0, -1, 0, -1, -0.31667, -1]"
110100020010002000000200000000000000000000,"[1, 0, 0, 0, 0, 0, 0]"
221100121010001201000210200012000002000000,"[0, 0.04183, 0, 0, 0, 0, 0]"
221110121010001201000210200012000002200000,"[0, 0, -1, -1, -1, 0.04672, -1]"
221120021110001001000200200010000002000000,"[0, 0, 0, 0.02767, 0, 0, 0]"
220100021010001001000200200010000000000000,"[0.05618, 0, 0, 0, 0, 0, 0]"
220100021010001101000200200010000002000000,"[0, 0.02978, 0, 0, 0, 0, 0]"
220100021010001101000220200011000002000000,"[0, 0, 0, 0, 0, 0, 0]"
221100021010001101000220200011000002200000,"[0, 0, -1, 0.0119, 0, 0, 0]"
201100120010002000000100000020000000000000,"[-0.4381, 0.08332, 0, 0, 0, 0, 0]"
211102120010002000000100000020000000000000,"[0.0286, 0, 0, -1, 0, 0, 0]"
211102120010002001000100000020000002000000,"[0, -1, -1, -1, -1, -1, 0.04159]"
220100020010001001000000200000010000000000,"[0.07575, 0, 0, 0, 0, 0, 0]"
220100022010001101000000200000010000000000,"[0, 0, 0, 0, 0, 0, 0]"
220101022010001101000200200000010000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
220101022010001101000200200020010000001000,"[0.0119, 0, 0, 0, 0, 0, 0]"
220111022010001101000200200020010002001000,"[0, -1, 0, 0, 0, 0, 0]"
210110020010002000000000000000000000000000,"[1, -1, 0, -1, -1, -1, 0]"
200100120010000002000000100000000000000000,"[0.04477, 0, 0, 0, 0, 0, 0]"
202100120010000002000000100000010000000000,"[0, 0, 0, 0, 0, 0, 0]"
202100120010002002000100100000010000000000,"[0.03395, 0, 0, 0, 0, 0, 0]"
202100120110002002000100100020010000000000,"[0.02351, 0, 0, 0, 0, 0, 0]"
202110120110002002000100100020010002000000,"[0, 0.02321, 0, 0, 0, 0, 0]"
222110120111002002000100100020010002000000,"[0, 0, 0.02321, 0, 0, 0, 0]"
200101200010000000000000000000000000000000,"[0.04115, 0, 0, 0, 0, 0, 0]"
200101200010000002000000100000000000000000,"[0.03238, 0, 0, 0, 0, 0, 0]"
200101200010210002000000100000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
200101200010210002000000100000020000001000,"[0.0119, 0, 0, 0, 0, 0, 0]"
200101220010210002010000100000020000001000,"[0, 0, 0, 0, 0, 0, 0]"
200101220010212002010100100000020000001000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201101220010212002010100100020020000001000,"[-1, 0, 0, 0, 0, 0, 0]"
201110000020000000000000000000000000000000,"[-1, 0, 0, 0, -1, 0, 0]"
211102020010001001000200200010000002000000,"[0, -1, -1, -1, 0.04391, -1, -1]"
220101200010000001000000000000000000000000,"[0, 0, -1, 0, 0, 0, 0]"
000120000001000000000000000000000000000000,"[0.04914, 0, 0, 0, 0, 0, 0]"
200120000011000000000000000000000000000000,"[0.0247, 0, 0, 0, 0, 0, 0]"
201120200011000000000000000000000000000000,"[0.02349, 0, 0, 0, 0, 0, 0]"
201120220111000000000000000000000000000000,"[0.03013, 0, 0, 0, 0, 0, 0]"
201121220111002000000000000000000000000000,"[0, 0, 0, 0, -1, 0, 0]"
100100000020000000000000000000000000000000,"[0.05158, 0, 0, 0, 0, 0, 0]"
100100020020000001000000000000000000000000,"[0.0463, 0, 0, 0, 0, 0, 0]"
110100220020000001000000000000000000000000,"[0, 0, 0.0119, 0, 0, 0, 0]"
200101000000000000000000000000000000000000,"[-0.4381, -0.4381, 0.11833, 0, 0, 0, 0]"
200111020000000000000000000000000000000000,"[-0.4881, -1, 0, 0, 0, 0, 0]"
210100022010001000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
210100022010001000000200000010000000000000,"[0.05487, 0, 0, 0, 0, 0, 0]"
210100022010001100000200000010000002000000,"[0, 0.04743, 0, 0, 0, 0, 0]"
210100022010001100000220000011000002000000,"[0, 0.03115, 0, 0, 0, 0, 0]"
211100022010001100000220000011000002200000,"[0, 0, 0, 0, 0.01785, 0, 0]"
211100022210001110000220000011000002200000,"[0, 0, -1, -1, -1, -1, 0]"
100001020000000000000000000000000000000000,"[0.16497, 0, 0, 0, 0, 0, 0]"
100101020000002000000000000000000000000000,"[0.15592, 0, 0, 0, 0, 0, 0]"
100101020000002000000200000010000000000000,"[0.02404, 0, 0, 0, 0, 0, 0]"
101101020000002000000200000010000002000000,"[0, -1, -1, -1, -1, -1, 0.0119]"
121101120000002000000200000010000002000000,"[0, 0, -1, 0, 0, 0, 0]"
200100020010000001000000200000010000000000,"[0.32295, 0, 0, 0, 0, 0, 0]"
200100020010002001000100200000010000000000,"[0.07721, 0, 0, 0, 0, 0, 0]"
200100020010002001000100200020010000001000,"[0.09287, 0, 0, 0, 0, 0, 0]"
202100020010002001000100200020010001001000,"[0, 0.0119, 0, 0, 0, 0, 0]"
222100020110002001000100200020010001001000,"[0, 0, 0, 0, 0, 0, 0]"
210101020010002000000100000020000000000000,"[0.05604, 0, 0, 0, 0, 0, 0]"
210111020010002000000100000020000002000000,"[0, 0, 0.03233, 0, 0, 0, 0]"
210111022011002000000100000020000002000000,"[0, -1, 0, 0, 0, 0, 0]"
120100020010002000000100000000000000000000,"[0.01785, 0, 0, 0, 0, 0, 0]"
120110020010002000000100000020000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
120111020010002000000100000020000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
120111022010002100000100000020000002000000,"[0, -1, 0, 0, 0, 0, 0]"
211100022110002211000100000020000002000000,"[0, -0.4881, -1, 0, 0, 0, 0]"
012100000010000002000000000000000000000000,"[0.03833, 0, 0, 0, 0, 0, 0]"
212100000010000002000000100000000000000000,"[0.03962, 0, 0, 0, 0, 0, 0]"
212100020010001002000000100000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
212101020010001002000200100000000000000000,"[0.01726, 0, 0, 0, 0, 0, 0]"
212101020010101002000200100020000000000000,"[0.02321, 0, 0, 0, 0, 0, 0]"
212101020110101002000200100020000002000000,"[0, 0.01785, 0, 0, 0, 0, 0]"
212101122110101002000200100020000002000000,"[0, -1, 0, 0, 0, 0, 0]"
000102000010000000000000000000000000000000,"[0.09985, 0, 0, 0, 0, 0, 0]"
002102000010000001000000000000000000000000,"[0, 0, 0, 0.03861, 0, 0, 0]"
221110021010001201000210200012010002200000,"[0, 0, -1, -0.28362, -1, -0.31179, -0.4381]"
220100021010001001000000200000000000000000,"[0.08038, 0, 0, 0, 0, 0, 0]"
220100021010001001000200200000010000000000,"[0.06815, 0, 0, 0, 0, 0, 0]"
220100021010001001000200200020010000001000,"[0.05352, 0, 0, 0, 0, 0, 0]"
220100021010001101000200200020010002001000,"[0, 0.03315, 0, 0, 0, 0, 0]"
220102021010001101000210200020010002001000,"[0, 0.03395, 0, 0, 0, 0, 0]"
220102021010101101000210200022010002001000,"[0, 0.03154, 0, 0, 0, 0, 0]"
220112021010101101000210200022010002201000,"[0, 0, 0.02083, 0, 0, 0, 0]"
222112021011101101000210200022010002201000,"[0, 0, 0, 0, 0, 0.0119, 0]"
221110020110001001000200200020000000000000,"[0.02321, 0, 0, 0, 0, 0, 0]"
221110020110001011000200200020000002000000,"[0, 0, 0.02321, 0, 0, 0, 0]"
200102020010001001000100200000000000000000,"[0.0327, 0, 0, 0, 0, 0, 0]"
210102020010001001000100200020000000000000,"[0.01994, 0, 0, 0, 0, 0, 0]"
211102020010001001000100200020000002000000,"[0, 0, 0, -1, 0.02618, 0, 0]"
211102022110001001000100200020000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
211102022110001011000100200020020002000000,"[0, -1, -1, 0, 0, 0, 0]"
100120000000000000000000000000000000000000,"[0.05591, 0, 0, 0, 0, 0, 0]"
100120200010000000000000000000000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
100120220010000001000000000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
201110020012000000000000000000000000000000,"[-1, 0.03836, 0, -1, 0, 0, 0]"
201110020212000001000000000000000000000000,"[0, 0, 0, -1, 0, -1, 0]"
200120100010000000000000000000000000000000,"[0.02757, 0, 0, 0, 0, 0, 0]"
200120100010020001000000000000000000000000,"[0, 0, 0, 0.0119, 0, 0, 0]"
200120120010020001001000000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
200101020010000000000000000000000000000000,"[0.13953, 0, 0, 0, 0, 0, 0]"
200101020010002000000100000000000000000000,"[0, 0, 0.09633, 0, 0, 0, 0]"
200111020010002002000100000000000000000000,"[-1, -1, -1, -1, 0, 0, 0]"
000120100000000000000000000000000000000000,"[0.07469, 0, 0, 0, 0, 0, 0]"
200121100012000000000000000000000000000000,"[0.02321, 0, 0, 0, 0, 0, 0]"
200121120012001000000000000000000000000000,"[0.01785, 0, 0, 0, 0, 0, 0]"
200121120012001000100200000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
200121120012101000100200000020000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201121120012101000100200000020000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221121121012101000100200000020000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221121121112101200100200000020000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221121121112101200100220000021000002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221121121112101200100220010021000002200000,"[0, 0, 0, 0, 0, 0, 0]"
221121121112101201120220010021000002200000,"[0, 0, -1, 0, 0, 0, 0]"
221101021010001001000200200010020002000000,"[0, 0, 0.02321, 0, 0, 0, 0]"
221101021010001201000210200010020002000000,"[0, -1, -1, 0, 0, 0, -1]"
001102000000000000000000000000000000000000,"[0.02828, 0, 0, 0, 0, 0, 0]"
201102000010000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
201102020010000001000000000000000000000000,"[-1, -1, -1, 0.06783, 0, 0, -1]"
000001000000000000000000000000000000000000,"[0.11809, 0, 0, 0, 0, 0, 0]"
000121000000000000000000000000000000000000,"[0.04436, 0, 0, 0, 0, 0, 0]"
200121000010000000000000000000000000000000,"[0.03291, 0, 0, 0, 0, 0, 0]"
200121020010000001000000000000000000000000,"[-1, -1, -1, 0.05986, 0, 0, 0]"
201101020000000000000000000000000000000000,"[0, 0, 0, 0, 0.26088, 0, 0]"
221120021110001201000210200012010002000000,"[0, 0, 0, 0, 0, 0, 0]"
200120120010000001000000000000000000000000,"[0, 0, 0, 0.05467, -1, 0, 0]"
202100010010000001000000200000000000000000,"[0.14228, 0, 0, 0, 0, 0, 0]"
202100010010002001000100200000000000000000,"[0.19766, 0, 0, 0, 0, 0, 0]"
202100010110002001000100200020000000000000,"[-0.42468, -1, 0.15473, 0, 0, 0, 0]"
212100010110002001000100200020000002000000,"[0, -0.4881, 0, 0, 0, 0, 0]"
200102000010000001000000000000000000000000,"[-1, -1, -1, 0.10012, -1, -1, -1]"
220111000000000000000000000000000000000000,"[-1, -1, -1, -1, -1, -1, -1]"
000122000011000000000000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
000122000011200000100000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
002122000011200001100000000000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
002122000211200001110000000000000000000000,"[-1, 0, 0, 0, 0, 0, 0]"
200100020010001001000100200000020000000000,"[0, 0, 0, 0, 0, 0, 0]"
200120020010001001000100200010020000000000,"[0.03517, -1, 0, 0, 0, -1, 0]"
201120020010001001000100200010020002000000,"[0, 0.01785, 0, 0, 0, 0, 0]"
221120021010001001000100200010020002000000,"[0, 0, 0, 0, 0, 0, 0]"
221120021210001101000100200010020002000000,"[0, 0, 0, 0, 0, 0, 0]"
221120021210001121000110200010020002000000,"[0, 0, 0, 0, 0, -1, 0]"
201100200010000000000000000000000000000000,"[0.03363, 0, 0, 0, 0, 0, 0]"
201110220010000000000000000000000000000000,"[0.03697, 0, 0, 0, -1, -1, -1]"
201110220010002000000100000000000000000000,"[0, 0.02217, 0, 0, 0, 0, 0]"
210100020010001000000200000000000000000000,"[0.06932, 0, 0, 0, 0, 0, 0]"
210120020010001001000200000000000000000000,"[-1, -1, -1, 0.03793, -1, -1, -1]"
210120021010001001000200000020000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
210120021010001101000200000020000002000000,"[0, 0, 0.01785, -1, 0, 0, 0]"
221110021010001201000200200010000002000000,"[0, -0.05165, -1, -1, -1, 0.05895, 0]"
200120010010000001000000200000000000000000,"[0.05368, 0, 0, 0, 0, 0, 0]"
200120010012000001100000200000000000000000,"[0, 0, 0, 0, 0, 0, 0]"
200120010012002001100100200000000000000000,"[0.02351, 0, 0, 0, 0, 0, 0]"
201120010012002001100100200020000000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201120010112002001100100200020020000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
201120010112002001100100210020020002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221120010112002011100100210020020002000000,"[0, -1, 0, 0, 0, 0, 0]"
200101020010000001000000200000000000000000,"[0.5337, 0, 0, 0, 0, 0, 0]"
200101020010002001000000200000010000000000,"[1, 0, 0, 0, 0, 0, 0]"
200120010010001001000000200000020000000000,"[0.03279, 0, 0, 0, 0, 0, 0]"
200120010010001001000200200010020000000000,"[0.0119, 0, 0, 0, 0, 0, 0]"
200120010012001001100200200010020000000000,"[0.01785, 0, 0, 0, 0, 0, 0]"
201120010012001001100200200010020002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
221120011012001001100200200010020002000000,"[0, 0.0119, 0, 0, 0, 0, 0]"
